dt,transportation_price_index
2017-09-06,1000
2017-09-13,991
2017-09-20,992
2017-09-27,979
2017-10-04,985
2017-10-11,962
2017-10-18,950
2017-10-25,953
2017-11-01,951
2017-11-08,955
2017-11-15,947
2017-11-22,939
2017-11-29,952
2017-12-06,948
2017-12-13,958
2017-12-20,970
2017-12-27,988
2018-01-03,1006
2018-01-10,953
2018-01-17,927
2018-01-24,940
2018-01-31,925
2018-02-07,919
2018-02-14,916
2018-02-21,926
2018-02-28,941
2018-03-07,941
2018-03-14,934
2018-03-21,933
2018-03-28,944
2018-04-04,956
2018-04-11,940
2018-04-18,927
2018-04-25,932
2018-05-02,961
2018-05-09,931
2018-05-16,932
2018-05-23,954
2018-05-30,956
2018-06-06,971
2018-06-13,969
2018-06-20,968
2018-06-27,976
2018-07-04,1003
2018-07-11,991
2018-07-18,999
2018-07-25,1009
2018-08-01,1014
2018-08-08,1021
2018-08-15,1004
2018-08-22,1009
2018-08-29,1012
2018-09-05,1023
2018-09-12,1007
2018-09-19,1018
2018-09-26,1007
2018-10-03,1013
2018-10-10,984
2018-10-17,983
2018-10-24,967
2018-10-31,967
2018-11-07,972
2018-11-14,963
2018-11-21,969
2018-11-28,984
2018-12-05,1013
2018-12-12,1008
2018-12-19,1016
2018-12-26,1041
2019-01-02,1087
2019-01-09,1040
2019-01-16,982
2019-01-23,969
2019-01-30,971
2019-02-06,985
2019-02-13,979
2019-02-20,964
2019-02-27,981
2019-03-06,987
2019-03-13,981
2019-03-20,967
2019-03-27,978
2019-04-03,989
2019-04-10,967
2019-04-17,965
2019-04-24,972
2019-05-01,1002
2019-05-08,993
2019-05-15,984
2019-05-22,984
2019-05-29,998
2019-06-05,1014
2019-06-12,996
2019-06-19,995
2019-06-26,1010
2019-07-03,1031
2019-07-10,1009
2019-07-17,1010
2019-07-24,1015
2019-07-31,1031
2019-08-07,1009
2019-08-14,1003
2019-08-21,1015
2019-08-28,1023
2019-09-04,1031
2019-09-11,1018
2019-09-18,1018
2019-09-25,1019
2019-10-02,1031
2019-10-09,1011
2019-10-16,995
2019-10-23,992
2019-10-30,997
2019-11-06,1011
2019-11-13,998
2019-11-20,998
2019-11-27,1018
2019-12-04,1022
2019-12-11,1021
2019-12-18,1010
2019-12-25,1017
2020-01-01,1059
2020-01-08,1045
2020-01-15,958
2020-01-22,950
2020-01-29,943
2020-02-05,944
2020-02-12,945
2020-02-19,942
2020-02-26,950
2020-03-04,963
2020-03-11,954
2020-03-18,963
2020-03-25,1009
2020-04-01,1028
2020-04-08,998
2020-04-15,959
2020-04-22,934
2020-04-29,918
2020-05-06,926
2020-05-13,904
2020-05-20,908
2020-05-27,914
2020-06-03,916
2020-06-10,915
2020-06-17,937
2020-06-24,950
2020-07-01,965
2020-07-08,965
2020-07-15,991
2020-07-22,1008
2020-07-29,1016
2020-08-05,1024
2020-08-12,1009
2020-08-19,1014
2020-08-26,1029
2020-09-02,1041
2020-09-09,1030
2020-09-16,1023
2020-09-23,1020
2020-09-30,1038
2020-10-07,1021
2020-10-14,1003
2020-10-21,997
2020-10-28,1013
2020-11-04,1022
2020-11-11,1006
2020-11-18,1006
2020-11-25,1031
2020-12-02,1034
2020-12-09,1030
2020-12-16,1040
2020-12-23,1051
2020-12-30,1103
2021-01-06,1092
2021-01-13,1006
2021-01-20,1031
2021-01-27,1037
2021-02-03,1031
2021-02-10,1038
2021-02-17,1059
2021-02-24,1098
2021-03-03,1091
2021-03-10,1087
2021-03-17,1071
2021-03-24,1057
2021-03-31,1074
2021-04-07,1058
2021-04-14,1055
2021-04-21,1050
2021-04-28,1060
2021-05-05,1094
2021-05-12,1073
2021-05-19,1078
2021-05-26,1096
2021-06-02,1128
2021-06-09,1120
2021-06-16,1116
2021-06-23,1134
2021-06-30,1175
2021-07-07,1182
2021-07-14,1170
2021-07-21,1194
2021-07-28,1191
2021-08-04,1197
2021-08-11,1198
2021-08-18,1209
2021-08-25,1237
2021-09-01,1242
2021-09-08,1231
2021-09-15,1227
2021-09-22,1230
2021-09-29,1248
2021-10-06,1247
2021-10-13,1236
2021-10-20,1246
2021-10-27,1243
2021-11-03,1268
2021-11-10,1235
2021-11-17,1244
2021-11-24,1261
2021-12-01,1279
2021-12-08,1290
2021-12-15,1312
2021-12-22,1319
2021-12-29,1419
2022-01-05,1422
2022-01-12,1296
2022-01-19,1287
2022-01-26,1290
2022-02-02,1299
2022-02-09,1306
2022-02-16,1298
2022-02-23,1291
2022-03-02,1314
2022-03-09,1326
2022-03-16,1313
2022-03-23,1324
2022-03-30,1339
2022-04-06,1320
2022-04-13,1285
2022-04-20,1253
2022-04-27,1237
2022-05-04,1238
2022-05-11,1210
2022-05-18,1189
2022-05-25,1153
2022-06-01,1141
2022-06-08,1127
2022-06-15,1120
2022-06-22,1111
2022-06-29,1134
2022-07-06,1137
2022-07-13,1137
2022-07-20,1170
2022-07-27,1200
2022-08-03,1198
2022-08-10,1211
2022-08-17,1230
2022-08-24,1255
2022-08-31,1284
2022-09-07,1274
2022-09-14,1266
2022-09-21,1276
2022-09-28,1279
2022-10-05,1276
2022-10-12,1268
2022-10-19,1256
2022-10-26,1241
2022-11-02,1253
2022-11-09,1241
2022-11-16,1239
2022-11-23,1281
2022-11-30,1312
2022-12-07,1342
2022-12-14,1360
2022-12-21,1406
2022-12-28,1462
2023-01-04,1475
2023-01-11,1384
2023-01-18,1364
2023-01-25,1344
2023-02-01,1331
2023-02-08,1322
2023-02-15,1330
2023-02-22,1343
2023-03-01,1372
2023-03-08,1367
2023-03-15,1364
2023-03-22,1377
2023-03-29,1406
2023-04-05,1421
2023-04-12,1395
2023-04-19,1411
2023-04-26,1430
2023-05-03,1441
2023-05-10,1443
2023-05-17,1434
2023-05-24,1452
2023-05-31,1487
2023-06-07,1500
2023-06-14,1501
